Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Honduras,15839344591.9842,15839344591.9842,1932.8582899968899,1932.8582899968899,11.09,1.9687509388315299,8194778.0
"Hong Kong SAR, China",228637697575.04,228637697575.04,32549.998231121,32549.998231121,72.0,0.734446396338105,7024200.0
Hungary,130922638689.071,130922638689.071,13092.2337567695,13092.2337567695,65.0,-0.22601387568969802,10000023.0
Iceland,13254818331.1893,13254818331.1893,41676.4452733744,41676.4452733744,93.39,-0.143903000294037,318041.0
India,1656617073124.21,1656617073124.21,1345.77015320886,1345.77015320886,7.5,1.36679795698174,1230980691.0
Indonesia,755094160363.0709,755094160363.0709,3113.4806345143297,3113.4806345143297,10.92,1.32140494165303,242524123.0
"Iran, Islamic Rep.",487069570463.76794,487069570463.76794,6531.9274296787,6531.9274296787,15.9,1.1870842563904398,74567511.0
Iraq,138516722649.573,138516722649.573,4502.74904825726,4502.74904825726,2.5,2.86233481026105,30762701.0
Ireland,221951353966.87802,221951353966.87802,48671.8881193463,48671.8881193463,69.85,0.544884384079014,4560155.0
Isle of Man,5920177688.50433,5920177688.50433,73935.6789952084,73935.6789952084,,0.9372892447458521,80072.0
Israel,233609522091.46802,233609522091.46802,30642.9406174863,30642.9406174863,67.5,1.82675240987847,7623600.0
Italy,2125058244242.92,2125058244242.92,35849.3731979401,35849.3731979401,53.68,0.30759122234095,59277417.0
Jamaica,13191645685.5116,13191645685.5116,4682.52124815387,4682.52124815387,27.67,0.467082082457756,2817210.0
Japan,5700098114744.41,5700098114744.41,44507.6763859172,44507.6763859172,78.21,0.0179605415195644,128070000.0
Jordan,26425379436.6197,26425379436.6197,3679.1902746327796,3679.1902746327796,27.2,5.16091019202536,7182390.0
Kazakhstan,148047348240.643,148047348240.643,9070.64997199985,9070.64997199985,31.6,1.41224046867424,16321581.0
Kenya,39999659233.7555,39999659233.7555,967.3400773413251,967.3400773413251,7.2,2.7284057124036605,41350152.0
Kiribati,153275912.676573,153275912.676573,1493.16051003948,1493.16051003948,9.07,2.05105113450242,102652.0
"Korea, Dem. People’s Rep.",,,,,0.0,0.5242250147129871,24591599.0
"Korea, Rep.",1094499338702.72,1094499338702.72,22086.952919320098,22086.952919320098,83.7,0.49822508440110996,49554112.0
Kosovo,5829933774.83444,5829933774.83444,3283.21193843172,3283.21193843172,,0.803248961277754,1775680.0
Kuwait,115419050942.08,115419050942.08,38497.6169579293,38497.6169579293,61.4,6.16125114017792,2998083.0
Kyrgyz Republic,4794357795.07139,4794357795.07139,880.037775119109,880.037775119109,16.3,1.19286442880631,5447900.0
Lao PDR,7127792629.582941,7127792629.582941,1141.12711507419,1141.12711507419,7.0,1.5202042032531398,6246274.0
Latin America & Caribbean,5334533033072.82,5334533033072.82,8943.388373677879,8943.388373677879,34.7096220522286,1.20900848131431,596477846.0
Latin America & Caribbean (excluding high income),4923605261317.64,4923605261317.64,8641.87813956247,8641.87813956247,34.196125717027805,1.23533422601551,569737872.0
Latvia,23757368290.0955,23757368290.0955,11326.219474624299,11326.219474624299,68.42,-2.08130508988111,2097555.0
Least developed countries: UN classification,661934469924.977,661934469924.977,779.854781335661,779.854781335661,4.27147929441368,2.39321582064476,848791962.0
Lebanon,38419626628.1924,38419626628.1924,8858.28397743868,8858.28397743868,43.68,3.61493897040946,4337141.0
Lesotho,2385950663.8256,2385950663.8256,1169.26784178666,1169.26784178666,3.86,1.0514018859831802,2040551.0
Liberia,1292697100.0,1292697100.0,327.420509735634,327.420509735634,2.3,3.52106240624552,3948125.0
Libya,74773444900.5368,74773444900.5368,12120.562169206201,12120.562169206201,14.0,0.782530353839159,6169140.0
Liechtenstein,5082366478.08994,5082366478.08994,141165.082856705,141165.082856705,80.0,0.660454685156967,36003.0
Lithuania,37120517693.8622,37120517693.8622,11984.8685698823,11984.8685698823,62.12,-2.09694341985475,3097282.0
Low & middle income,20751243965021.6,20751243965021.7,3589.46955071601,3589.46955071601,20.168987447742,1.33063438384318,5781145005.362229
Low income,292339724487.545,292339724487.545,522.028283051796,522.028283051796,3.2598434397494302,2.77246322741868,560007444.0
Lower middle income,4666964528535.15,4666964528535.16,1693.01308902787,1693.01308902787,10.959229644287902,1.5748768809881002,2756602745.0
